ID,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,CER,WER
352,1.4,27.27,5.45,25.0,19.16,62.45,90.38
25770,12.13,47.06,23.4,45.83,44.51,32.11,58.33
18164,6.64,29.69,8.6,31.91,26.84,38.75,91.57
20604,18.79,49.18,27.14,50.7,48.58,23.93,54.29
11567,12.97,38.71,16.54,37.04,38.99,38.2,69.7
13645,25.37,54.0,32.38,50.47,48.7,20.75,51.85
11657,17.73,59.34,31.86,53.91,51.07,32.67,51.72
6956,3.37,33.77,6.98,31.82,24.1,35.45,75.0
20093,18.56,54.79,27.22,51.46,46.1,29.7,54.02
19063,4.14,44.66,12.17,39.32,32.48,39.13,64.41
14259,2.5,38.96,15.91,44.44,38.34,25.11,55.56
15726,5.06,46.26,19.46,43.85,40.36,34.46,68.82
16225,9.3,44.21,20.2,43.56,42.8,32.42,75.56
15181,16.86,51.79,27.14,52.11,48.44,30.95,57.97
13389,15.18,39.47,24.1,42.35,46.14,47.42,86.11
6292,20.84,47.06,27.27,48.89,46.66,32.76,59.09
14261,15.9,50.47,24.24,52.24,46.05,26.53,54.41
12813,5.23,45.0,18.56,46.46,40.35,24.46,59.18
21399,3.51,47.73,13.73,40.38,39.22,27.13,82.61
21314,19.86,45.1,25.56,50.37,44.14,29.13,54.93
18702,26.47,61.54,32.48,58.82,57.71,20.06,45.76
22448,12.74,45.78,20.62,40.4,40.85,25.0,75.56
19701,9.71,47.62,16.0,47.06,39.47,21.38,59.62
4918,3.48,43.48,13.33,39.52,33.43,31.41,66.67
23775,5.6,53.85,19.05,51.16,46.29,20.67,58.54
2700,13.35,47.92,18.69,47.71,42.46,25.33,59.26
11581,1.57,36.56,8.4,31.4,24.01,39.62,71.88
11618,1.79,39.47,6.82,33.33,24.98,32.89,80.95
15065,21.06,37.84,24.72,43.96,40.66,27.13,64.44
19824,10.77,52.87,20.75,44.44,43.89,29.27,71.15
5795,5.64,47.89,20.69,49.44,44.26,28.22,58.14
5369,11.36,46.51,22.68,46.46,46.55,30.48,71.11
22432,22.09,46.43,25.9,46.81,43.84,24.19,66.67
20861,41.31,68.35,45.98,69.66,68.26,21.89,36.36
13724,26.02,57.47,36.17,58.33,56.04,20.37,43.75
10720,15.49,50.53,27.18,49.52,44.64,27.4,53.7
20293,28.76,60.0,36.36,59.41,58.4,23.28,44.0
5210,6.61,50.63,23.3,53.33,45.35,25.68,53.85
12621,22.03,48.84,27.66,47.92,45.19,25.73,57.14
15064,41.14,72.48,51.46,70.52,70.08,10.08,32.56
11882,13.55,51.55,20.95,48.6,41.94,29.37,67.35
24172,12.45,51.22,21.54,50.0,52.28,21.4,76.79
4827,15.75,54.17,28.57,52.34,48.63,24.91,49.09
18246,18.93,50.37,26.29,49.72,46.74,33.79,58.14
14049,7.85,40.0,12.0,37.25,31.29,36.82,66.67
13814,17.23,49.38,28.57,51.16,47.01,23.26,55.56
11010,9.01,50.57,20.75,44.44,47.12,23.33,78.72
7390,37.67,64.29,44.19,61.36,59.15,18.64,42.22
6846,18.74,54.29,25.84,54.44,50.91,25.62,52.87
17771,11.78,44.68,25.24,49.52,46.08,34.91,52.83
7001,12.09,51.22,24.74,50.51,47.75,25.73,65.22
23211,17.54,55.0,28.3,50.0,50.82,28.89,64.0
17534,18.93,38.96,23.4,41.67,40.21,21.58,71.11
11748,13.03,58.39,25.43,56.0,52.4,21.63,47.73
6080,32.82,63.89,39.53,61.36,60.88,12.13,47.62
22321,16.24,58.62,24.0,49.35,45.28,13.08,51.28
12126,44.65,66.67,50.45,70.8,69.35,11.82,33.33
11055,14.36,50.0,22.22,47.27,42.96,26.87,57.14
26456,24.85,55.22,34.25,58.11,55.6,16.07,44.59
21112,16.83,53.76,24.53,46.3,43.84,31.05,58.93
8217,9.55,58.95,24.43,49.62,50.63,23.51,68.33
23497,4.45,40.96,13.48,39.56,34.87,18.38,78.05
16577,10.89,53.9,20.13,49.69,48.8,24.55,68.49
25506,42.09,70.09,46.15,67.59,65.53,10.3,33.78
5319,11.03,40.48,17.65,46.15,40.52,40.25,57.69
19098,24.45,55.32,34.69,56.0,55.19,30.4,48.98
19963,34.17,57.69,40.0,58.12,55.36,26.21,45.0
24048,35.88,64.15,42.74,63.87,62.17,17.22,40.0
17168,41.15,70.59,47.22,69.86,68.54,16.63,35.62
16942,11.56,44.3,18.6,41.38,41.9,32.37,84.0
4839,26.26,63.92,35.2,56.69,52.33,18.18,46.27
11254,55.09,73.56,62.63,77.23,76.29,12.41,23.53
7424,39.7,66.67,46.24,67.43,63.09,12.68,35.87
18838,31.71,61.16,38.04,59.39,55.22,17.32,44.94
14748,35.24,52.87,29.92,60.47,58.98,24.1,40.0
13954,4.31,32.94,14.89,33.33,32.54,46.53,84.09
3174,17.57,52.73,25.37,45.59,48.59,31.82,84.48
21972,25.13,54.69,31.45,52.17,50.91,25.0,55.13
17546,8.12,39.22,14.88,37.4,30.44,34.95,70.0
13269,14.4,49.38,20.41,52.0,47.26,25.82,54.0
11643,13.16,52.17,26.53,48.0,48.8,29.7,64.58
15636,9.23,46.4,13.95,47.13,36.27,23.14,55.06
4968,29.88,53.19,38.1,56.07,58.08,31.27,56.0
20602,6.49,45.45,14.51,40.0,40.88,38.45,85.88
6585,3.75,40.38,11.57,35.77,31.27,35.61,81.03
24028,13.75,49.35,20.0,46.34,47.2,48.45,72.97
21456,11.31,37.84,16.49,26.26,32.14,42.75,102.33
17474,1.59,34.09,7.41,30.91,28.36,33.95,93.75
14287,24.39,60.5,28.38,57.33,57.28,22.02,52.78
17420,32.0,58.95,35.79,59.79,57.2,19.84,42.86
26382,21.09,65.67,30.91,62.5,58.34,26.28,50.0
13788,25.31,60.24,33.33,59.18,56.52,19.26,44.9
12578,17.01,48.84,24.07,45.45,45.14,31.53,77.08
15948,37.19,65.33,44.57,63.28,62.12,18.43,40.91
1238,20.35,56.0,26.51,51.76,48.99,21.24,54.76
12727,3.65,45.16,12.61,37.17,37.86,30.51,95.74
21511,15.93,52.63,22.22,47.52,52.48,27.23,92.5
19839,23.11,55.67,27.35,52.1,50.86,20.64,56.14
17277,4.79,43.59,18.56,46.46,46.72,44.69,75.0
19037,29.4,47.76,33.77,50.63,50.05,30.14,53.85
25048,19.95,61.36,32.65,58.0,58.18,24.36,51.06
25490,10.18,41.46,15.69,40.38,39.02,32.53,77.08
7150,3.21,35.0,8.33,32.65,26.64,22.64,76.6
24801,7.27,35.44,9.52,35.51,29.17,33.22,67.27
13026,8.53,37.89,16.82,36.7,35.47,25.76,76.47
13005,1.69,24.0,5.19,22.78,17.25,38.57,90.0
23596,3.31,42.59,11.57,39.02,35.17,44.92,77.97
17290,32.45,60.27,41.03,60.0,57.73,17.78,43.9
3232,38.3,69.88,47.83,65.96,65.15,16.48,34.04
11620,7.28,40.82,14.53,38.67,33.71,31.17,68.82
13168,2.74,30.36,8.96,32.35,27.09,28.09,75.38
6198,4.68,39.02,15.09,35.19,33.25,39.92,74.51
2301,6.06,32.43,8.33,29.51,24.27,36.83,80.0
24210,3.31,35.51,9.38,33.85,29.13,35.36,83.33
2204,24.64,53.52,28.21,52.5,49.67,25.32,50.0
4392,1.2,26.77,5.56,24.66,19.95,35.96,88.24
2083,0.43,7.5,0.0,5.88,3.19,53.31,115.22
6546,10.85,32.26,16.51,32.43,32.51,27.46,82.35
19174,2.63,25.86,7.3,31.65,26.96,37.98,80.0
2636,16.67,38.6,20.98,38.62,35.85,38.37,65.28
18153,3.9,35.29,12.66,35.0,30.78,34.89,69.14
19472,2.92,39.06,12.42,35.58,31.8,41.74,68.75
16370,3.4,35.51,7.14,38.03,26.46,36.21,80.0
15523,0.89,9.88,2.2,8.6,7.5,55.17,117.07
17506,1.11,22.61,4.38,20.14,14.56,34.58,92.31
19753,1.32,30.87,6.98,32.18,24.6,36.81,75.58
26207,1.61,32.99,7.41,30.91,23.29,34.92,78.85
21482,2.01,18.33,7.84,18.06,17.95,50.0,105.8
21514,9.19,39.08,13.19,36.56,31.88,32.92,67.39
15271,8.43,30.0,10.85,32.06,29.28,40.06,83.33
13369,7.96,37.59,15.79,38.54,32.56,34.05,63.37
8368,17.75,37.5,20.69,40.45,38.01,38.4,65.12
22348,1.35,20.59,6.45,18.95,18.47,43.66,115.0
11058,1.74,19.18,7.5,21.95,19.46,41.07,87.18
25563,2.26,28.3,4.58,27.07,18.67,42.74,75.36
24972,16.46,45.57,21.78,40.78,39.75,23.58,76.6
25900,1.17,23.84,5.92,22.22,16.83,36.75,81.18
25309,4.3,38.24,12.82,37.5,31.94,29.73,62.5
16614,4.12,38.89,12.2,38.1,32.04,34.7,65.85
5529,1.61,25.64,4.44,28.26,19.7,46.06,73.91
4136,41.92,50.0,28.79,61.19,61.48,23.7,40.91
23951,23.09,50.72,30.12,48.81,50.23,24.1,62.82
17064,8.79,31.4,12.77,32.17,26.95,37.75,70.27
14790,10.23,46.87,15.48,36.47,30.55,25.0,68.13
14786,2.49,17.5,4.35,19.15,14.9,41.29,84.78
20071,3.52,29.06,10.6,31.37,29.22,34.05,81.69
24422,13.46,53.19,22.73,50.75,48.64,26.67,60.32
312,3.43,34.65,9.23,36.36,29.78,41.41,71.43
22363,13.25,43.48,18.42,44.16,39.66,30.26,58.44
21218,0.93,22.56,2.42,23.95,16.55,50.42,87.34
24350,11.18,35.9,13.48,37.36,32.59,33.06,66.67
16787,1.25,21.33,4.17,20.41,16.83,48.24,104.65
21162,1.29,24.1,2.35,22.99,15.02,42.74,83.33
15737,0.53,19.51,0.0,15.24,8.32,44.4,106.38
19687,1.13,17.5,2.3,15.73,11.28,47.48,95.24
24794,1.08,20.37,3.17,17.19,12.33,38.52,83.08
26176,1.1,26.67,2.13,18.75,11.59,37.93,82.35
24677,1.29,26.51,2.2,27.96,17.41,48.26,82.22
17538,3.24,28.21,7.06,27.59,21.97,44.05,74.42
25850,13.33,31.88,14.46,30.59,28.47,49.49,71.43
12221,11.18,35.29,16.49,32.32,29.13,32.03,69.23
3235,2.72,25.0,5.61,27.52,20.33,42.17,74.55
5844,18.15,37.5,15.73,38.89,38.29,27.27,72.62
15002,16.87,58.7,30.77,60.38,56.71,23.85,42.31
4733,1.42,23.19,4.0,21.57,18.59,42.55,95.74
10777,4.51,25.53,6.78,22.35,20.04,37.22,96.3
11922,1.56,32.94,7.77,26.67,25.04,38.06,93.62
24836,0.59,20.78,0.0,16.84,9.11,51.69,102.33
18782,1.47,22.22,7.92,21.36,20.35,57.65,100.0
7645,3.88,24.24,11.76,22.86,20.95,42.98,77.78
20563,2.02,34.67,9.2,33.71,27.31,41.98,72.73
781,8.3,35.19,15.13,36.36,32.4,33.23,63.93
23720,8.56,40.0,15.29,40.25,36.34,32.96,62.96
16126,11.0,38.4,13.7,36.49,31.08,35.21,66.22
18626,10.93,40.88,15.57,39.05,35.49,31.16,61.9
2496,1.05,26.09,1.72,27.12,16.62,50.35,82.14
15679,2.91,31.58,7.27,30.36,23.24,38.44,73.68
23169,3.48,30.56,9.64,28.24,24.75,54.91,80.49
12930,2.84,17.78,8.25,18.18,16.49,41.83,84.0
17149,1.24,30.23,4.84,26.98,20.9,49.43,113.73
18272,1.24,23.81,2.15,23.16,14.34,39.46,81.25
20698,1.29,24.66,2.38,20.93,14.25,37.05,82.22
5557,8.75,34.78,17.05,35.11,32.14,32.38,66.15
5636,6.69,26.83,8.74,25.95,21.63,39.63,77.89
5468,1.1,24.72,2.06,22.22,14.96,35.22,95.56
2961,1.7,23.23,5.74,22.75,17.56,45.98,96.84
25344,2.99,27.85,8.42,24.74,20.36,40.34,86.96
11560,0.54,7.79,0.0,8.25,4.95,77.01,98.04
11283,10.46,32.88,13.79,29.21,27.68,37.33,79.07
1598,8.61,38.96,14.74,41.24,35.87,33.2,60.42
11733,11.85,28.93,13.26,26.23,24.92,37.14,78.89
12619,9.73,31.82,14.0,29.41,28.06,31.07,77.55
11485,2.62,23.08,7.14,19.3,18.19,41.33,85.71
19096,1.5,30.0,4.6,26.97,22.16,53.27,92.5
4028,15.32,39.51,17.98,37.36,36.49,40.24,68.89
20399,1.42,28.28,5.56,29.09,22.96,37.41,90.0
15682,2.5,22.02,6.78,23.33,19.88,45.0,87.72
26089,8.95,32.26,12.33,35.14,28.59,40.11,68.49
3047,0.69,16.47,1.55,12.21,9.73,58.27,138.46
24311,4.58,27.07,8.28,24.56,22.28,45.96,91.14
21942,10.26,38.64,11.76,38.46,31.87,36.73,65.38
